,id,name,owner_name
0,2,Fortuna,OH Archived companies
1,5,KPMG Czech Republic,Ales Machander
2,6,K&H Biztosító,OH Archived companies
3,8,L'Oreal Ceska republika s.r.o.,OH Archived companies
4,9,TOTAL Czech republic,OH Archived companies
5,10,"W.A.G. Payment solutions, a.s.",OH Archived companies
6,11,K&H Bank,OH Archived companies
7,14,Lending Loop,OH Archived companies
8,16,Normative,OH Archived companies
9,17,Idea Couture,OH Archived companies
10,18,Ceska Pojistovna,OH Archived companies
11,20,CzechInvest,OH Archived companies
12,21,AFI - Association for Foreign Investment,OH Archived companies
13,23,"Komercni Pojistovna, a.s.",OH Archived companies
14,25,Regus,OH Archived companies
15,26,NN Insurance,Serge Dupaux
16,28,Veolia Energie,Serge Dupaux
17,29,Kyivstar,OH Archived companies
18,30,"Ceske Radiokomunikace, a.s.",OH Archived companies
19,34,E.ON Future Lab,OH Archived companies
20,35,E.ON :agile,OH Archived companies
21,37,Thomas Birr,OH Archived companies
22,43,Quanto Group,OH Archived companies
23,44,Allianz SE,OH Archived companies
24,45,Allianz Ventures,OH Archived companies
25,46,Sonnen,OH Archived companies
26,48,Austrian Post,OH Archived companies
27,51,Brandaris capital,OH Archived companies
28,53,Stadtwerke Munchen,OH Archived companies
29,54,Akzo Nobel,OH Archived companies
30,55,Anwb,OH Archived companies
31,56,ASML,OH Archived companies
32,58,Eneco,OH Archived companies
33,60,KLM,OH Archived companies
34,62,NS,OH Archived companies
35,65,Port of Rotterdam,OH Archived companies
36,67,Alliander,OH Archived companies
37,68,Ergo,OH Archived companies
38,70,Mazars Morocco,OH Archived companies
39,71,Rebel & Glory,OH Archived companies
40,73,Vattenfall Europe Sales GmbH,Q Macartney
41,77,KBC,OH Archived companies
42,79,French Chamber of Commerce in Czech republic,OH Archived companies
43,80,ZSE energie,OH Archived companies
44,83,Accenture Central Europe B.V.,OH Archived companies
45,84,EY,Zoltan Kaprinay
46,86,Ceska Inovace o.p.s.,OH Archived companies
47,87,Bitkom Service mbH,OH Archived companies
48,88,Czech Center Berling & Dusseldorf,OH Archived companies
49,90,Under Armour,OH Archived companies
50,91,Deutsche Bahn,Sebastian Knab
51,93,Canadian Western Bank,OH Archived companies
52,94,Vancity Credit Union,OH Archived companies
53,95,Servus Credit Union,OH Archived companies
54,96,Coast Capital Savings,OH Archived companies
55,97,ATB Financial,OH Archived companies
56,98,Aviva,OH Archived companies
57,99,Omega Ventures,Dimitri Nabatov
58,100,Hazelton Ventures,OH Archived companies
59,101,Manulife Financial,OH Archived companies
60,102,Communitech,OH Archived companies
61,103,Telekom,OH Archived companies
62,107,RBC,OH Archived companies
63,108,Adelpha Tech,OH Archived companies
64,109,Mosaic,OH Archived companies
65,110,Richter Gedeon,OH Archived companies
66,111,Teva Pharmaceuticals,OH Archived companies
67,112,MVM Hungarian Electricity,OH Archived companies
68,113,BorsodChem,OH Archived companies
69,115,Univer,OH Archived companies
70,116,CEZ Prodej,OH Archived companies
71,117,Mazars Czech republic,OH Archived companies
72,118,Canadian Chamber of Commerce - Czech republic,OH Archived companies
73,119,Fundlift,OH Archived companies
74,120,McKinsey,OH Archived companies
75,123,Arthur D. Little - UAE,OH Archived companies
76,124,"Innogy Ceska republika, a.s.",OH Archived companies
77,126,Fjord - Accenture,OH Archived companies
78,127,The Scout Innovation,OH Archived companies
79,128,Accor,OH Archived companies
80,129,ITmagination,OH Archived companies
81,130,Vienna Insurance Group,OH Archived companies
82,131,CIB Bank,OH Archived companies
83,132,WizzAir,OH Archived companies
84,133,Graphisoft,OH Archived companies
85,134,Trigránit,OH Archived companies
86,135,Telenor Hungary,OH Archived companies
87,136,Groupama,OH Archived companies
88,137,Deloitte,Zoltan Kaprinay
89,138,AT Kearney,OH Archived companies
90,140,Randstad Deutschland GmbH & Co. KG,OH Archived companies
91,141,EON IT nearshore,OH Archived companies
92,142,Vivat,OH Archived companies
93,143,Cetelem,OH Archived companies
94,144,ERSTE Bank,OH Archived companies
95,146,IVSZ,OH Archived companies
96,149,Mastercard labs - Middle East,OH Archived companies
97,150,MEVP,OH Archived companies
98,153,NIMR Automotive,OH Archived companies
99,154,Imena Group,OH Archived companies
100,155,Younoh,OH Archived companies
101,156,Zawdeh,OH Archived companies
102,157,Hooks,OH Archived companies
103,158,Deloitte Digital,OH Archived companies
104,159,The Cribb,OH Archived companies
105,160,TURN8,OH Archived companies
106,161,24 Hours Pick-Up Service,OH Archived companies
107,162,El Grocer,OH Archived companies
108,163,Giza Communications FZ LLC,OH Archived companies
109,164,Innoopolis,OH Archived companies
110,165,Arkhurst & Abdellah Solicitors FZ LLE,OH Archived companies
111,166,The Global Education & Leadership Foundation,OH Archived companies
112,167,Sharp Middle East FZE,OH Archived companies
113,168,Danube Properties,OH Archived companies
114,169,iTech5,OH Archived companies
115,170,Award Capital Ltd.,OH Archived companies
116,172,Ceved Group S.p.A.,OH Archived companies
117,173,Focus Hospitality Consulting,OH Archived companies
118,174,CMS Manufacturing Company LLC,OH Archived companies
119,176,Athur D. Little Middle East,OH Archived companies
120,177,Acuris Mergermarket,OH Archived companies
121,179,Giga Communications,OH Archived companies
122,180,Wise Inc,OH Archived companies
123,181,Lamb Weston,OH Archived companies
124,185,UniCredit Bank,OH Archived companies
125,186,Zwack Unicum Nyrt.,OH Archived companies
126,187,RTL Klub,OH Archived companies
127,189,Heineken Sörgyárak Zrt.,OH Archived companies
128,190,MFB Natural Gas Trade Ltd.,OH Archived companies
129,192,LogMeIn,OH Archived companies
130,193,Magnet Bank,OH Archived companies
131,194,Allianz Hungária Kft.,OH Archived companies
132,195,Czech Convention Bureau,OH Archived companies
133,196,Dejsiprostor,OH Archived companies
134,197,AXA Insurance (Gulf) B.S.C.,OH Archived companies
135,198,1776 Dubai,OH Archived companies
136,200,Foxconn DRC,OH Archived companies
137,201,StemMark,OH Archived companies
138,202,Advantage Austria,OH Archived companies
139,203,Country Life,OH Archived companies
140,204,Ceské Radiokomunikace a.s.,OH Archived companies
141,205,ResponseNow,OH Archived companies
142,206,PRK Partners,OH Archived companies
143,207,Generali CEE Holding,OH Archived companies
144,208,Invest Management,OH Archived companies
145,209,Insane Business Ideas s.r.o.,OH Archived companies
146,210,Brazzale S.p.a.,OH Archived companies
147,211,Director,OH Archived companies
148,212,Skupina Cez,OH Archived companies
149,213,Government of Canada,OH Archived companies
150,214,TMCD,OH Archived companies
151,215,Söder Partner,OH Archived companies
152,216,Ningbo Municipal Commission of Commerce,OH Archived companies
153,217,Azim Yachts Czech Republic,OH Archived companies
154,218,Czech VR Fest,OH Archived companies
155,219,World BTC Business SE,OH Archived companies
156,220,Happy Pineapple,OH Archived companies
157,222,Tesco Plc,OH Archived companies
158,223,Bohemia Energy,OH Archived companies
159,224,Investeers,OH Archived companies
160,225,IG&H,OH Archived companies
161,226,Foxconn,OH Archived companies
162,227,MVGM,OH Archived companies
163,228,Takarékbank,OH Archived companies
164,230,Hyundai,Studio Digital Team
165,232,Kiko,OH Archived companies
166,233,Massimo Dutti,OH Archived companies
167,234,Bershka,OH Archived companies
168,235,Rewe,OH Archived companies
169,236,Pepe Jeans,OH Archived companies
170,238,Marks & Spencer,OH Archived companies
171,239,Gap,OH Archived companies
172,240,HELL Energy International Ltd,OH Archived companies
173,241,Diageo,OH Archived companies
174,242,Detecon,OH Archived companies
175,246,ZadaCZo,OH Archived companies
176,247,Boloro,OH Archived companies
177,249,Euroasian Education & Consulting,OH Archived companies
178,251,Fichte & Co,OH Archived companies
179,252,Privirylle,OH Archived companies
180,253,Shogun Marketing,OH Archived companies
181,254,Daimler - X Incubator,OH Archived companies
182,255,Creative Dock s.r.o.,OH Archived companies
183,256,VVAA,OH Archived companies
184,257,Deloitte Czech Republic,OH Archived companies
185,260,Allianz X / DIGITAL,OH Archived companies
186,261,Munich Digital Institite,OH Archived companies
187,263,Next47,OH Archived companies
188,264,http://www.petervogel.org/,OH Archived companies
189,265,IKW,OH Archived companies
190,266,Knorr,OH Archived companies
191,268,ISM- Interntational School of Management,OH Archived companies
192,269,Civitta,OH Archived companies
193,270,Gazpromneft Angara LLC.,OH Archived companies
194,272,Société Générale Insurance Germany,OH Archived companies
195,273,BayWa,OH Archived companies
196,274,The Body Shop,Serge Dupaux
197,275,Lenovo,OH Archived companies
198,277,Drogerie Markt,OH Archived companies
199,278,Lufthansa,Heinrich
200,279,Julius-K9,OH Archived companies
201,280,Atos,OH Archived companies
202,286,PRÜFTECHNIK Dieter Busch AG,OH Archived companies
203,287,Pro7 Media SE,OH Archived companies
204,289,Würth,OH Archived companies
205,290,Page Group,OH Archived companies
206,292,Uniplaces,OH Archived companies
207,293,source{d},OH Archived companies
208,295,Innosabi GmbH,OH Archived companies
209,297,Rainmaking Innovation,OH Archived companies
210,298,Berlin School of Digital Business (Koop),OH Archived companies
211,299,Röhrborn LLP,OH Archived companies
212,300,Werk 1,OH Archived companies
213,301,frame innovation,OH Archived companies
214,302,Intel,Serge Dupaux
215,303,Hauck & Aufhäuser,OH Archived companies
216,304,Noerr Stiefenhofer Lutz,OH Archived companies
217,306,lehrermarktplatz.de,OH Archived companies
218,307,UPC,OH Archived companies
219,308,Central Media,OH Archived companies
220,309,Head of Innovation Lab,OH Archived companies
221,310,Munich Digital Institute,OH Archived companies
222,312,Audi.Denkwerkstatt,OH Archived companies
223,314,Air France,OH Archived companies
224,315,Pivotal,OH Archived companies
225,316,Colliers International,OH Archived companies
226,317,CBRE,Serge Dupaux
227,318,RE/MAX,OH Archived companies
228,320,Century 21,OH Archived companies
229,323,Uniper Energy Sales GmbH,OH Archived companies
230,325,it economics,OH Archived companies
231,326,Kanzlei Hill,OH Archived companies
232,327,Media Markt,OH Archived companies
233,329,Retail Tech Hub,OH Archived companies
234,330,BayStartUp,OH Archived companies
235,331,Boehringer,Sebastian Knab
236,332,Cofidis Magyarország,OH Archived companies
237,333,Provident,OH Archived companies
238,334,Orange SK,OH Archived companies
239,335,Le Cheque Dejeuner,OH Archived companies
240,339,Banka,OH Archived companies
241,340,Slovenská Pošta,OH Archived companies
242,341,Železnice SR,OH Archived companies
243,343,G4 investment,OH Archived companies
244,344,Svet zdravia&Pro Care,OH Archived companies
245,345,NN Pojisťovňa,OH Archived companies
246,347,Sygic,OH Archived companies
247,348,Poisťovňa Dôvera,OH Archived companies
248,351,SLSP,OH Archived companies
249,352,Poštová Banka,OH Archived companies
250,353,VŠE,OH Archived companies
251,354,Union Poisťovňa,OH Archived companies
252,355,Spie,OH Archived companies
253,360,City of Prague,OH Archived companies
254,362,EQT,OH Archived companies
255,364,FIO Banka,OH Archived companies
256,365,Agel,OH Archived companies
257,366,Arca Capital,OH Archived companies
258,367,"Niké, stavková kancelária",OH Archived companies
259,369,AVON CEE,OH Archived companies
260,370,Delta,OH Archived companies
261,376,Discovery Limited,OH Archived companies
262,377,Delia Potraviny,OH Archived companies
263,378,HPE,OH Archived companies
264,384,Visa Europe,Serge Dupaux
265,385,Philips Czeska republika s.r.o.,OH Archived companies
266,387,NNL,OH Archived companies
267,388,Rascom s.r.o.,OH Archived companies
268,389,Joesoef Exim,OH Archived companies
269,390,Koawach,OH Archived companies
270,391,Cyperfection gmnh,OH Archived companies
271,392,Cybercom Poland Sp. z o.o.,OH Archived companies
272,393,Kienbaum Consultants International GmbH,OH Archived companies
273,394,Lufthansa Industry Solutions AS GmbH,OH Archived companies
274,395,Medical Artificial Intelligence of Korea,OH Archived companies
275,396,CHORA Conscious City,OH Archived companies
276,398,Whalebone,OH Archived companies
277,399,Max Immo,OH Archived companies
278,400,Hexagon,OH Archived companies
279,401,Aegon,OH Archived companies
280,402,Stedin,OH Archived companies
281,403,ASR,OH Archived companies
282,404,PGGM,OH Archived companies
283,405,Achmea,OH Archived companies
284,407,Sport-Fit GmbH,OH Archived companies
285,408,Presse-Druck- und Verlags-GmbH,OH Archived companies
286,409,Bayerischer Apothekenverband,OH Archived companies
287,410,Mediamarkt Saturn / Retail Tech Hub,OH Archived companies
288,411,AK Urban Jarabicova,OH Archived companies
289,412,Marzas,OH Archived companies
290,414,ERB bank a.s.,OH Archived companies
291,415,MStR Law Greece,OH Archived companies
292,416,MND a.s.,OH Archived companies
293,417,MBR Abogados,OH Archived companies
294,418,Intertrust Group,OH Archived companies
295,419,Suez Tractebel,OH Archived companies
296,420,Maluly JR Adovgados,OH Archived companies
297,421,Abogada,OH Archived companies
298,422,Cestka Exportni banka,OH Archived companies
299,423,TMF Group,OH Archived companies
300,425,Alpiq Energy SE,OH Archived companies
301,426,Economia a.s.,OH Archived companies
302,428,Havel & Holásek,OH Archived companies
303,429,"JŠK, advokátní kancelář, s.r.o.",OH Archived companies
304,430,SME Union,OH Archived companies
305,431,Future Candy,OH Archived companies
306,432,Salve,OH Archived companies
307,434,Blackstone PM Germany,OH Archived companies
308,435,Delta L/NN,OH Archived companies
309,436,Monetha,OH Archived companies
310,440,BMW,OH Archived companies
311,443,Rocket Internet,OH Archived companies
312,444,Biogen,OH Archived companies
313,448,The Estée Lauder Companies,OH Archived companies
314,453,Rothschild,OH Archived companies
315,454,ArmRest,OH Archived companies
316,455,Enexis,OH Archived companies
317,456,Jaguar,OH Archived companies
318,457,Invitel,OH Archived companies
319,458,Nationale Nederlanden,OH Archived companies
320,459,Mastercard HU,OH Archived companies
321,460,MetLife,OH Archived companies
322,461,Szerencsejáték Zrt.,OH Archived companies
323,462,Red Bull Deutschland GmbH,OH Archived companies
324,465,Rabocank zakelijk,OH Archived companies
325,466,Talanx International AG,OH Archived companies
326,467,Female Tech Leaders,OH Archived companies
327,468,ING-DiBa AG,OH Archived companies
328,469,Clifford Chance,OH Archived companies
329,470,Fintech Ladies Europe,OH Archived companies
330,471,EAS International,OH Archived companies
331,472,AbbVie Inc.,OH Archived companies
332,473,Nordic Investors,OH Archived companies
333,475,Citibank,OH Archived companies
334,476,IHK for Munich and Upper Bavaria,OH Archived companies
335,477,Cofidis CZ,OH Archived companies
336,478,Strascheg Center For Entrepreneurship,OH Archived companies
337,901,CryptoOracle,OH Archived companies
338,482,Freudenberg Chemical Specialities,OH Archived companies
339,483,Burberry,OH Archived companies
340,484,RWA Raiffeisen Ware Austria AG,OH Archived companies
341,485,TRILUX Vertrieb GmbH,OH Archived companies
342,486,PLUGANDPLAY,OH Archived companies
343,488,Audi,OH Archived companies
344,490,Societe Generale Germany,OH Archived companies
345,493,Hermès,OH Archived companies
346,495,Christian Dior,OH Archived companies
347,496,Max Mara Fashion Group,OH Archived companies
348,497,s.Oliver Bernd Freier GmbH & CO. KG,OH Archived companies
349,498,Esprit,OH Archived companies
350,499,Balmain,OH Archived companies
351,504,C&A  Mode GmbH & Co. KG,OH Archived companies
352,505,Nike,Serge Dupaux
353,506,Primark,Serge Dupaux
354,507,Next Ltd,OH Archived companies
355,508,Debenhams,OH Archived companies
356,509,Benetton Group,OH Archived companies
357,510,Takko Holding GmbH,OH Archived companies
358,511,Chiara Ferragni Collection,OH Archived companies
359,512,Invest in Bavaria,OH Archived companies
360,514,French Connection,OH Archived companies
361,515,Jimmy Choo,OH Archived companies
362,516,Prada Group,OH Archived companies
363,517,Promod,OH Archived companies
364,518,Boohoo,OH Archived companies
365,519,Balenciaga,OH Archived companies
366,520,Mango,OH Archived companies
367,521,About You GmbH,OH Archived companies
368,522,Lacoste S.A.,OH Archived companies
369,523,Jil Sander GmbH,OH Archived companies
370,524,Tom Tailor Holding SE,OH Archived companies
371,525,Garcia Jeans,OH Archived companies
372,526,Hugo Boss AG,OH Archived companies
373,527,Moschino,OH Archived companies
374,528,Guess Europe Sagl,OH Archived companies
375,529,Flanderijn,OH Archived companies
376,530,Calzedonia,OH Archived companies
377,531,Diesel S.p.A.,OH Archived companies
378,532,Tommy Hilfiger,OH Archived companies
379,533,up-visor.com,OH Archived companies
380,534,Jack Wolfskin,OH Archived companies
381,535,Modra Pyramida,OH Archived companies
382,536,Yves Saint Laurent SAS,OH Archived companies
383,537,Desigual,OH Archived companies
384,538,Closed GmbH,OH Archived companies
385,539,Mammut Sports Group AG,OH Archived companies
386,540,Marc O´Polo,OH Archived companies
387,541,Marc Cain GmbH,OH Archived companies
388,542,Trussardi S.p.A.,OH Archived companies
389,543,Versace,OH Archived companies
390,544,Roberto Cavalli,OH Archived companies
391,545,Superdry Plc,OH Archived companies
392,546,Luisa Cerano GmbH,OH Archived companies
393,547,Philipp Plein,OH Archived companies
394,548,Liu Jo S.p.A.,OH Archived companies
395,549,Topshop Topman,OH Archived companies
396,550,Urban Outfitters,OH Archived companies
397,551,Ted Baker,OH Archived companies
398,552,New Look,OH Archived companies
399,553,Bench,OH Archived companies
400,554,Arcadia Group Ltd.,OH Archived companies
401,555,Acne Studios,OH Archived companies
402,556,Chloé,OH Archived companies
403,557,Givenchy,OH Archived companies
404,558,Alexander McQueen,OH Archived companies
405,559,Dolce & Gabbana S.r.l.,OH Archived companies
406,560,Dsquared2,OH Archived companies
407,561,Falke KGaA,OH Archived companies
408,562,Fendi,OH Archived companies
409,563,Giorgio Armani,OH Archived companies
410,564,Karl Lagerfeld,OH Archived companies
411,565,Valentino,OH Archived companies
412,566,Miss Selfridge,OH Archived companies
413,567,Moncler,OH Archived companies
414,568,Celine,OH Archived companies
415,569,Jägermeister,OH Archived companies
416,570,Flora Holland,OH Archived companies
417,571,Kenzo,OH Archived companies
418,572,Bottega Veneta,OH Archived companies
419,573,Sergio Rossi,OH Archived companies
420,575,Loewe,OH Archived companies
421,576,Belstaff,OH Archived companies
422,578,Embassy of the United States of America,OH Archived companies
423,579,Baker McKenzie,OH Archived companies
424,580,European Centre for Career Education,OH Archived companies
425,582,Smurfit Kappa,OH Archived companies
426,584,Advicerobo,OH Archived companies
427,586,BNT attorneys-at-law s.r.o.,OH Archived companies
428,587,Naissance Capital,OH Archived companies
429,588,Czech Women´s Lobby,OH Archived companies
