,id,name,owner_name
0,2,Fortuna,OH Archived companies
1,5,KPMG Czech Republic,Ales Machander
2,6,K&H Biztosító,OH Archived companies
3,8,L'Oreal Ceska republika s.r.o.,OH Archived companies
4,9,TOTAL Czech republic,OH Archived companies
5,10,"W.A.G. Payment solutions, a.s.",OH Archived companies
6,11,K&H Bank,OH Archived companies
7,14,Lending Loop,OH Archived companies
8,16,Normative,OH Archived companies
9,17,Idea Couture,OH Archived companies
10,18,Ceska Pojistovna,OH Archived companies
11,20,CzechInvest,OH Archived companies
12,21,AFI - Association for Foreign Investment,OH Archived companies
13,23,"Komercni Pojistovna, a.s.",OH Archived companies
14,25,Regus,OH Archived companies
15,26,NN Insurance,Serge Dupaux
16,28,Veolia Energie,Serge Dupaux
17,29,Kyivstar,OH Archived companies
18,30,"Ceske Radiokomunikace, a.s.",OH Archived companies
19,34,E.ON Future Lab,OH Archived companies
20,35,E.ON :agile,OH Archived companies
21,37,Thomas Birr,OH Archived companies
22,43,Quanto Group,OH Archived companies
23,44,Allianz SE,OH Archived companies
24,45,Allianz Ventures,OH Archived companies
25,46,Sonnen,OH Archived companies
26,48,Austrian Post,OH Archived companies
27,51,Brandaris capital,OH Archived companies
28,53,Stadtwerke Munchen,OH Archived companies
29,54,Akzo Nobel,OH Archived companies
30,55,Anwb,OH Archived companies
31,56,ASML,OH Archived companies
32,58,Eneco,OH Archived companies
33,60,KLM,OH Archived companies
34,62,NS,OH Archived companies
35,65,Port of Rotterdam,OH Archived companies
36,67,Alliander,OH Archived companies
37,68,Ergo,OH Archived companies
38,70,Mazars Morocco,OH Archived companies
39,71,Rebel & Glory,OH Archived companies
40,73,Vattenfall Europe Sales GmbH,Q Macartney
41,77,KBC,OH Archived companies
42,79,French Chamber of Commerce in Czech republic,OH Archived companies
43,80,ZSE energie,OH Archived companies
44,83,Accenture Central Europe B.V.,OH Archived companies
45,84,EY,Zoltan Kaprinay
46,86,Ceska Inovace o.p.s.,OH Archived companies
47,87,Bitkom Service mbH,OH Archived companies
48,88,Czech Center Berling & Dusseldorf,OH Archived companies
49,90,Under Armour,OH Archived companies
50,91,Deutsche Bahn,Sebastian Knab
51,93,Canadian Western Bank,OH Archived companies
52,94,Vancity Credit Union,OH Archived companies
53,95,Servus Credit Union,OH Archived companies
54,96,Coast Capital Savings,OH Archived companies
55,97,ATB Financial,OH Archived companies
56,98,Aviva,OH Archived companies
57,99,Omega Ventures,Dimitri Nabatov
58,100,Hazelton Ventures,OH Archived companies
59,101,Manulife Financial,OH Archived companies
60,102,Communitech,OH Archived companies
61,103,Telekom,OH Archived companies
62,107,RBC,OH Archived companies
63,108,Adelpha Tech,OH Archived companies
64,109,Mosaic,OH Archived companies
65,110,Richter Gedeon,OH Archived companies
66,111,Teva Pharmaceuticals,OH Archived companies
67,112,MVM Hungarian Electricity,OH Archived companies
68,113,BorsodChem,OH Archived companies
69,115,Univer,OH Archived companies
70,116,CEZ Prodej,OH Archived companies
71,117,Mazars Czech republic,OH Archived companies
72,118,Canadian Chamber of Commerce - Czech republic,OH Archived companies
73,119,Fundlift,OH Archived companies
74,120,McKinsey,OH Archived companies
75,123,Arthur D. Little - UAE,OH Archived companies
76,124,"Innogy Ceska republika, a.s.",OH Archived companies
77,126,Fjord - Accenture,OH Archived companies
78,127,The Scout Innovation,OH Archived companies
79,128,Accor,OH Archived companies
80,129,ITmagination,OH Archived companies
81,130,Vienna Insurance Group,OH Archived companies
82,131,CIB Bank,OH Archived companies
83,132,WizzAir,OH Archived companies
84,133,Graphisoft,OH Archived companies
85,134,Trigránit,OH Archived companies
86,135,Telenor Hungary,OH Archived companies
87,136,Groupama,OH Archived companies
88,137,Deloitte,Zoltan Kaprinay
89,138,AT Kearney,OH Archived companies
90,140,Randstad Deutschland GmbH & Co. KG,OH Archived companies
91,141,EON IT nearshore,OH Archived companies
92,142,Vivat,OH Archived companies
93,143,Cetelem,OH Archived companies
94,144,ERSTE Bank,OH Archived companies
95,146,IVSZ,OH Archived companies
96,149,Mastercard labs - Middle East,OH Archived companies
97,150,MEVP,OH Archived companies
98,153,NIMR Automotive,OH Archived companies
99,154,Imena Group,OH Archived companies
